Model,Size (B),Task,Benchmark,Score,Timestamp,Status
tiiuae/falcon-7b,7.0,MATH,GSM8K,7.37,,
tiiuae/falcon-7b,7.0,MATH,MATH,1.4,,
tiiuae/falcon-7b,7.0,CODE GENERATION,HumanEval,0.0,,
tiiuae/falcon-7b,7.0,CODE GENERATION,MBPP,12.8,,
tiiuae/falcon-7b,7.0,COMMONSENSE REASONING,PIQA,49.5,,
tiiuae/falcon-7b,7.0,COMMONSENSE REASONING,SIQA,42.18,,
tiiuae/falcon-7b,7.0,COMMONSENSE REASONING,WinoGrande,62.0,,
tiiuae/falcon-7b,7.0,COMMONSENSE REASONING,OpenBookQA,54.0,,
tiiuae/falcon-7b,7.0,COMMONSENSE REASONING,ARC (easy + challenge),48.0,,
tiiuae/falcon-7b,7.0,COMMONSENSE REASONING,HellaSwag,44.0,,
tiiuae/falcon-7b,7.0,COMMONSENSE REASONING,CommonsenseQA,41.0,,
tiiuae/falcon-7b,7.0,READING COMPREHENSION,SQuAD,13.25,,
tiiuae/falcon-7b,7.0,READING COMPREHENSION,BoolQ,17.0,,
tiiuae/falcon-7b,7.0,READING COMPREHENSION,QuAC,15.15,,
tiiuae/falcon-7b,7.0,WORLD KNOWLEDGE,TriviaQA,58.0,,
tiiuae/falcon-7b,7.0,MMLU,MMLU,27.15,,
tiiuae/falcon-7b,7.0,AGIEval,AGIEval,20.0,,
tiiuae/falcon-7b,7.0,BBH,BBH,28.0,,
google/gemma-2b,2.0,READING COMPREHENSION,SQuAD,77.61904761904763,2025-06-03T15:07:13.681583,
google/gemma-2b,2.0,READING COMPREHENSION,QuAC,46.81307792566675,2025-06-03T15:47:21.595074,
openai-community/gpt2,0.08,CODE GENERATION,HumanEval,12.195121951219512,2025-06-11T21:41:35.183117,Completed
openai-community/gpt2,0.08,CODE GENERATION,HumanEval+,,2025-06-11T21:41:59.953127,Completed
openai-community/gpt2,0.08,CODE GENERATION,MBPP,0.0,2025-06-11T21:42:09.670216,Completed
openai-community/gpt2,0.08,CODE GENERATION,MBPP EvalPlus,,2025-06-11T21:42:56.935161,Completed
openai-community/gpt2,0.08,CODE GENERATION,Average,6.097560975609756,2025-06-11T21:42:56.935225,Aggregated
google/gemma-2b,2.0,READING COMPREHENSION,BoolQ,80.0,2025-06-11T22:07:05.734000,Completed
meta-llama/Meta-Llama-3-8B,4.54,CODE GENERATION,MBPP,0.0,2025-06-12T16:22:42.578846,Completed
google/gemma-2b,2.0,MMLU,MMLU,37.06552706552706,2025-06-18T13:42:04.608020,Completed
google/gemma-2b,2.0,MATH AND REASONING,ARC-Challenge,42.66211604095563,2025-06-18T21:51:25.140574,Completed
google/gemma-2b,2.0,AGIEval,AGIEval,22.60869565217392,2025-07-08T21:16:27.976454,Completed
google/gemma-2b,2.0,COMMONSENSE REASONING,PIQA,51.0,2025-07-08T21:16:27.976454,Completed
